group,subj,eval_repr,tag,n_eval,neg_mode,k_neg,seed,bootstrap,clip_pretrained,ccd_acc1,ccd_acc1_ci95_lo,ccd_acc1_ci95_hi,ccd_acc5,mrr,mean_rank,median_rank,margin_mean,margin_mean_ci95_lo,margin_mean_ci95_hi,margin_median,margin_std,twoafc_hardest,twoafc_hardest_ci95_lo,twoafc_hardest_ci95_hi,runtime_sec,metrics.json
official_hf,5,tokens_mean,final_subj05_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.4807480871677398,0.4455445408821106,0.5137513875961304,1.0,0.7403740286827087,1.5192519426345823,2.0,6.989026587689295e-05,-0.0015543611138127,0.0017034835356753,-0.0009645894169807,0.0248420685529708,0.4807480871677398,0.4455445408821106,0.5137513875961304,24.152963161468502,cache/model_eval_results/shared982_ccd/official_hf/final_subj05_pretrained_1sess_24bs/tokens_mean/metrics.json
official_hf,5,tokens_mean,final_subj05_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.6743674278259277,0.6424642205238342,0.7062706351280212,1.0,0.8371837139129639,1.3256325721740725,1.0,0.0140100959688425,0.0115678078494966,0.016279807453975,0.0129132941365242,0.0339656956493854,0.6743674278259277,0.6424642205238342,0.7062706351280212,21.440369129180908,cache/model_eval_results/shared982_ccd/official_hf/final_subj05_pretrained_40sess_24bs/tokens_mean/metrics.json
official_hf,7,pooled_mean,final_subj07_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.463146299123764,0.4323432445526123,0.4950495064258575,1.0,0.7315731644630432,1.5368536710739136,2.0,-0.001488413894549,-0.0029885105672292,0.0001355125416012,-0.0029555819928646,0.0252582989633083,0.463146299123764,0.4323432445526123,0.4950495064258575,31.86001205444336,cache/model_eval_results/shared982_ccd/official_hf/final_subj07_pretrained_1sess_24bs/pooled_mean/metrics.json
official_hf,7,pooled_mean,final_subj07_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.6237623691558838,0.5918591618537903,0.6545929566025733,1.0,0.8118811845779419,1.3762376308441162,1.0,0.0110705094411969,0.0089574855985119,0.0132494933670386,0.0100447572767734,0.0320067554712295,0.6237623691558838,0.5918591618537903,0.6545929566025733,18.80337595939636,cache/model_eval_results/shared982_ccd/official_hf/final_subj07_pretrained_40sess_24bs/pooled_mean/metrics.json
official_hf,7,tokens_mean,final_subj07_pretrained_1sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.463146299123764,0.4323432445526123,0.4950495064258575,1.0,0.7315731644630432,1.5368536710739136,2.0,-0.001488413894549,-0.0029885105672292,0.0001355125416012,-0.0029555819928646,0.0252582989633083,0.463146299123764,0.4323432445526123,0.4950495064258575,23.37048816680908,cache/model_eval_results/shared982_ccd/official_hf/final_subj07_pretrained_1sess_24bs/tokens_mean/metrics.json
official_hf,7,tokens_mean,final_subj07_pretrained_40sess_24bs,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.6237623691558838,0.5918591618537903,0.6545929566025733,1.0,0.8118811845779419,1.3762376308441162,1.0,0.0110705094411969,0.0089574855985119,0.0132494933670386,0.0100447572767734,0.0320067554712295,0.6237623691558838,0.5918591618537903,0.6545929566025733,27.41571569442749,cache/model_eval_results/shared982_ccd/official_hf/final_subj07_pretrained_40sess_24bs/tokens_mean/metrics.json
official_s1,1,pooled_mean,official_s1,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5830582976341248,0.5511550903320312,0.6149615049362183,1.0,0.7915291786193848,1.4169416427612305,1.0,0.0071475058794021,0.0052910706494003,0.0089339899364858,0.0057903826236724,0.0280611533671617,0.5830582976341248,0.5511550903320312,0.6149615049362183,19.51563715934753,cache/model_eval_results/shared982_ccd/official_s1/official_s1/pooled_mean/metrics.json
official_s1,1,tokens_mean,official_s1,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5830582976341248,0.5511550903320312,0.6149615049362183,1.0,0.7915291786193848,1.4169416427612305,1.0,0.0071475058794021,0.0052910706494003,0.0089339899364858,0.0057903826236724,0.0280611533671617,0.5830582976341248,0.5511550903320312,0.6149615049362183,26.22273063659668,cache/model_eval_results/shared982_ccd/official_s1/official_s1/tokens_mean/metrics.json
ours_s1_from_official_full_v1,1,pooled_mean,ours_s1_from_official_full_v1,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5830582976341248,0.5511550903320312,0.6149615049362183,1.0,0.7915291786193848,1.4169416427612305,1.0,0.0071475058794021,0.0052910701953805,0.0089339899364858,0.0057903826236724,0.0280611533671617,0.5830582976341248,0.5511550903320312,0.6149615049362183,20.807250261306763,cache/model_eval_results/shared982_ccd/ours_s1_from_official_full_v1/ours_s1_from_official_full_v1/pooled_mean/metrics.json
ours_s1_from_official_full_v1,1,tokens_mean,ours_s1_from_official_full_v1,909,hardneg,1,42,1000,laion2b_s39b_b160k,0.5830582976341248,0.5511550903320312,0.6149615049362183,1.0,0.7915291786193848,1.4169416427612305,1.0,0.0071475058794021,0.0052910701953805,0.0089339899364858,0.0057903826236724,0.0280611533671617,0.5830582976341248,0.5511550903320312,0.6149615049362183,21.080955505371094,cache/model_eval_results/shared982_ccd/ours_s1_from_official_full_v1/ours_s1_from_official_full_v1/tokens_mean/metrics.json
